"data_pedido","sup","inf","data_limite","id_cliente","cliente_premium","id_pedido"
"2024-04-01 10:59:45.0","1;2;3;4;5","1;2;3;4;5","2024-04-10 10:59:45.0","288673",0,190
"2024-04-01 11:19:00.0","1;2;3;4;5","1;2;3;4;5","2024-04-10 11:19:00.0","175591",0,191
"2024-04-01 11:35:33.0","1;2;3;4;5","1;2;3;4;5","2024-04-10 11:35:33.0","758699",0,192
"2024-04-01 12:09:23.0","6",,"2024-04-09 00:00:00.0","454811",0,193
"2024-04-01 12:15:50.0","1;2;3;4;5;6;7;8;9;10;11;12;13","1;2;3;4;5;6;7;8","2024-04-10 12:15:50.0","355004",0,194
"2024-04-01 12:28:54.0","6;7;8;9;10","6;7;8;9;10","2024-04-09 00:00:00.0","423409",0,195
"2024-04-01 12:41:13.0","1;2;3;4;5","1;2;3;4;5","2024-04-10 12:41:13.0","043246",0,196
"2024-04-01 12:44:39.0","15;16","15;16","2024-04-10 12:44:39.0","971711",0,197
"2024-04-01 14:07:08.0",,"9","2024-04-10 14:07:08.0","423409",0,198
"2024-04-01 14:30:35.0","1;2;3;4;5","1;2;3;4;5","2024-04-10 14:30:35.0","457205",0,199
"2024-04-01 15:09:39.0","16;17;18;19;20",,"2024-04-10 15:09:39.0","595856",0,200
"2024-04-01 15:10:19.0","6;7;8;9;10","6;7;8;9;10","2024-04-05 15:10:19.0","595856",0,201
"2024-04-01 15:11:43.0","6;7;8;9;10","6;7;8;9;10","2024-04-10 15:11:43.0","595856",0,202
"2024-04-01 15:12:30.0","6;7;8;9;10","6;7;8;9;10","2024-04-05 15:12:30.0","595856",0,203
"2024-04-01 16:28:43.0","16;17;18;19;20","16;17;18","2024-04-10 16:28:43.0","446248",0,204
"2024-04-01 16:57:37.0",,"6;7;8;9;10","2024-04-10 16:57:37.0","816862",0,205
"2024-04-01 17:03:02.0","6;7;8;9;10","6;7;8;9;10","2024-04-10 17:03:02.0","646874",0,206
"2024-04-01 18:20:46.0","11;12;13;14;15","11;12;13;14;15","2024-04-10 18:20:46.0","816862",0,207
"2024-04-02 08:17:41.0","21;22;23","21;22;23","2024-04-11 08:17:41.0","820557",1,208
"2024-04-02 08:19:51.0","6;7;8;9;10","6;7;8;9;10","2024-04-12 08:19:51.0","124958",0,209
"2024-04-02 08:21:01.0","13","21;22;23;24;25","2024-04-12 08:21:01.0","124958",0,210
"2024-04-02 08:25:17.0","16;17;18;19;20","16;17;18;19;20","2024-04-11 08:25:17.0","587402",0,211
"2024-04-02 08:27:06.0","11;12;13;14;15","11;12;13;14;15","2024-04-11 08:27:06.0","587402",0,212
"2024-04-02 10:40:44.0",,"22;23;24","2024-04-11 10:40:44.0","587402",0,213
"2024-04-02 10:52:29.0","1;2;3;4;5","1;2;3;4;5","2024-04-11 10:52:29.0","423409",0,214
"2024-04-02 10:57:56.0","1;2;3;4;5","1;2;3;4;5","2024-04-11 10:57:56.0","923293",0,215
"2024-04-02 11:10:14.0","1;2;3;4;5","1;2;3;4;5","2024-04-11 11:10:14.0","989330",0,216
"2024-04-02 11:33:28.0","1;2;3;4;5",,"2024-04-11 11:33:28.0","397382",0,217
"2024-04-02 11:46:47.0","1;2;3;4;5","1;2;3;4;5","2024-04-11 11:46:47.0","595856",0,218
"2024-04-02 14:45:59.0",,"11;12;13;14;15","2024-04-12 14:45:59.0","355635",0,219
"2024-04-02 15:35:06.0","1;2;3;4;5","1;2;3;4;5","2024-04-11 15:35:06.0","672657",1,220
"2024-04-02 15:40:18.0","1;2;3;4;5",,"2024-04-11 15:40:18.0","714242",0,221
"2024-04-02 16:13:11.0","6;7;8;9;10","6;7;8;9;10","2024-04-10 00:00:00.0","316981",0,222
"2024-04-02 16:26:14.0","1;2;3;4;5","","2024-04-11 16:26:14.0","944536",0,223
"2024-04-02 16:38:34.0","1;2;3;4;5","1;2;3;4;5","2024-04-12 16:38:34.0","124958",0,224
"2024-04-02 16:49:14.0","1;2;3;4;5","1;2;3;4;5","2024-04-11 16:49:14.0","167072",0,225
"2024-04-02 17:30:08.0","11;12;13;14;15;16;17","11;12;13;14","2024-04-11 17:30:08.0","114334",0,226
"2024-04-02 17:32:43.0","11;12;13;14;15","11;12;13;14;15","2024-04-12 17:32:43.0","567201",0,227
"2024-04-02 17:33:24.0","6;7;8;9;10","6;7;8;9;10","2024-04-11 17:33:24.0","167832",0,228
"2024-04-02 17:34:01.0","11;12;13;14;15",,"2024-04-12 17:34:01.0","492804",0,229
"2024-04-02 17:34:32.0","11;12;13;14;15","11;12;13;14;15","2024-04-12 17:34:32.0","492804",0,230
"2024-04-03 08:54:07.0","","11;12;13;14;15;16;17;18;19","2024-04-12 08:54:07.0","698154",0,231
"2024-04-03 09:25:12.0","11;12;13;14;15","11;12;13;14;15","2024-04-12 09:25:12.0","175124",0,232
"2024-04-03 09:31:16.0","20;21;22;23;24","20;21;22;23;24","2024-04-10 00:00:00.0","227707",1,233
"2024-04-03 10:02:07.0",,"1;2","2024-04-12 10:02:07.0","358956",0,234
"2024-04-03 10:03:34.0",,"1","2024-04-12 10:03:34.0","545054",0,235
"2024-04-03 10:08:34.0",,"1;2;3;4;5","2024-04-12 10:08:34.0","031923",0,236
"2024-04-03 10:17:11.0","1;2;3;4;5","1;2;3;4;5","2024-04-12 10:17:11.0","516026",0,237
"2024-04-03 12:05:23.0","1;2;3;4;5","1;2;3;4;5","2024-04-12 12:05:23.0","312771",0,238
"2024-04-03 12:12:57.0","11;12;13;14;15","11;12;13;14;15","2024-04-12 12:12:57.0","423409",0,239
"2024-04-03 17:02:29.0","1;2;3;4;5",,"2024-04-12 17:02:29.0","454643",0,240
"2024-04-03 17:08:11.0",,"29;30;31;32;33","2024-04-12 17:08:11.0","466180",0,241
"2024-04-03 18:03:56.0","1;2;3;4;5","1;2;3;4;5","2024-04-12 18:03:56.0","587402",0,242
"2024-04-04 08:43:22.0","18;19;20",,"2024-04-15 08:43:22.0","296334",0,243
"2024-04-04 08:43:59.0","11;12;13;14;15","11;12;13;14;15","2024-04-15 08:43:59.0","039273",0,244
"2024-04-04 08:44:48.0","16;17;18;19;20;21;22","16;17;18;19;20;21;22","2024-04-15 08:44:48.0","138486",0,245
